Organization,Country
Society for International Development (SID),India
Solidarity Center,India
Stop Hunger Now,India
Taiwan Buddhist Tzu Chi Foundation,India
The Global FoodBanking Network (GFN),India
The Hunger Project,India
Trickle Up Program,India
United Nations Foundation,India
United Way Worldwide,India
Water Aid America,India
Winrock International,India
World Hope International,India
World Neighbors,India
World Relief,India
World Society for the Protection of Animals,India
World Vision,India
World Wildlife Fund (WWF),India
Action Against Hunger | ACF International,Indonesia
Adventist Development and Relief Agency International,Indonesia
American Friends Service Committee,Indonesia
American Jewish World Service,Indonesia
American Red Cross International Services,Indonesia
AmeriCares,Indonesia
Ananda Marga Universal Relief Team,Indonesia
Baptist World Alliance,Indonesia
CARE,Indonesia
Catholic Relief Services,Indonesia
CBM,Indonesia
ChildFund International,Indonesia
Christian Reformed World Relief Committee,Indonesia
Church World Service,Indonesia
Congressional Hunger Center,Indonesia
Direct Relief International,Indonesia
Education Development Center (EDC),Indonesia
Friends of ACTED,Indonesia
Giving Children Hope,Indonesia
Global Fund for Children,Indonesia
Global Health Council,Indonesia
GlobalGiving,Indonesia
Habitat for Humanity International,Indonesia
Handicap International USA,Indonesia
Heifer International,Indonesia
Helen Keller International,Indonesia
Helping Hand for Relief and Development,Indonesia
International Catholic Migration Commission (ICMC),Indonesia
International Center for Not-for-Profit Law,Indonesia
International Medical Corps,Indonesia
International Medical Health Organization (IMHO),Indonesia
International Relief & Development,Indonesia
International Rescue Committee (IRC),Indonesia
International Youth Foundation,Indonesia
Islamic Relief USA,Indonesia
Jesuit Refugee Service,Indonesia
Jhpiego,Indonesia
Lions Club International Foundation,Indonesia
Lutheran World Relief (LWR),Indonesia
Management Sciences for Health (MSH),Indonesia
MAP International,Indonesia
Medical Teams International,Indonesia
Mercy Corps,Indonesia
Mercy USA for Aid and Development,Indonesia
Operation Blessing International Relief and Development Corporation,Indonesia
Oxfam America,Indonesia
PATH,Indonesia
PCI (Project Concern International),Indonesia
Perkins International,Indonesia
Plan,Indonesia
Presbyterian Disaster Assistance,Indonesia
Project C.U.R.E,Indonesia
ProLiteracy Worldwide,Indonesia
Relief International,Indonesia
Save the Children,Indonesia
Solidarity Center,Indonesia
Stop Hunger Now,Indonesia
Taiwan Buddhist Tzu Chi Foundation,Indonesia
United Methodist Committee on Relief,Indonesia
United Way Worldwide,Indonesia
Winrock International,Indonesia
World Hope International,Indonesia
World Neighbors,Indonesia
World Relief,Indonesia
World Vision,Indonesia
World Wildlife Fund (WWF),Indonesia
GlobalGiving,Iran
Stop Hunger Now,Iran
Taiwan Buddhist Tzu Chi Foundation,Iran
ACDI/VOCA,Iraq
Air Serv International,Iraq
AmeriCares,Iraq
America's Development Foundation,Iraq
Brother's Brother Foundation,Iraq
Campaign for Innocent Victims in Conflict,Iraq
Catholic Relief Services,Iraq
CBM,Iraq
CHF International,Iraq
Church World Service,Iraq
Direct Relief International,Iraq
Friends of ACTED,Iraq
Giving Children Hope,Iraq
GlobalGiving,Iraq
Handicap International USA,Iraq
Heartland Alliance,Iraq
Information Management and Mine Action Programs (IMMAP),Iraq
GlobalGiving,Afghanistan
GlobalGiving,Albania
GlobalGiving,Argentina
GlobalGiving,Armenia
GlobalGiving,Australia
International Center for Not-for-Profit Law,Iraq
International Medical Corps,Iraq
International Orthodox Christian Charities (IOCC),Iraq
International Relief & Development,Iraq
International Rescue Committee (IRC),Iraq
Islamic Relief USA,Iraq
Life for Relief and Development,Iraq
Lions Club International Foundation,Iraq
Mercy Corps,Iraq
Project C.U.R.E,Iraq
ProLiteracy Worldwide,Iraq
Refugees International,Iraq
Relief International,Iraq
Save the Children,Iraq
Solidarity Center,Iraq
Stop Hunger Now,Iraq
Taiwan Buddhist Tzu Chi Foundation,Iraq
U.S. Committee for Refugees & Immigrants,Iraq
Unitarian Universalist Service Committee,Iraq
USA for UNHCR,Iraq
Women for Women International,Iraq
World Learning,Iraq
ActionAid International USA,Ireland
Adventist Development and Relief Agency International,Ireland
Global Health Council,Ireland
GlobalGiving,Ireland
Habitat for Humanity International,Ireland
International Youth Foundation,Ireland
Jesuit Refugee Service,Ireland
Lions Club International Foundation,Ireland
PATH,Ireland
United Nations Foundation,Ireland
American Jewish Joint Distribution Committee,Israel
Baptist World Alliance,Israel
B'nai B'rith International,Israel
Global Health Council,Israel
GlobalGiving,Israel
Hebrew Immigrant Aid Society,Israel
International Orthodox Christian Charities (IOCC),Israel
International Rescue Committee (IRC),Israel
International Social Service - United States of America Branch Inc.,Israel
International Youth Foundation,Israel
Lions Club International Foundation,Israel
One Economy Corporation,Israel
Operation Blessing International Relief and Development Corporation,Israel
Project C.U.R.E,Israel
Save the Children,Israel
Stop Hunger Now,Israel
The Global FoodBanking Network (GFN),Israel
United Way Worldwide,Israel
ActionAid International USA,Italy
Adventist Development and Relief Agency International,Italy
Baptist World Alliance,Italy
Catholic Relief Services,Italy
Congressional Hunger Center,Italy
Global Health Council,Italy
International Social Service - United States of America Branch Inc.,Italy
International Youth Foundation,Italy
Jesuit Refugee Service,Italy
Lions Club International Foundation,Italy
Save the Children,Italy
United Nations Foundation,Italy
ACDI/VOCA,Jamaica
American Red Cross International Services,Jamaica
AmeriCares,Jamaica
Americas ReliefTeam,Jamaica
Baptist World Alliance,Jamaica
Brother's Brother Foundation,Jamaica
Catholic Relief Services,Jamaica
CBM,Jamaica
Direct Relief International,Jamaica
Family Care International,Jamaica
Food for the Poor (FFP),Jamaica
Giving Children Hope,Jamaica
Global Fund for Children,Jamaica
Global Health Council,Jamaica
Global Links,Jamaica
GlobalGiving,Jamaica
Habitat for Humanity International,Jamaica
Heart to Heart International,Jamaica
HelpAge USA,Jamaica
INMED Partnerships for Children,Jamaica
International Youth Foundation,Jamaica
Jhpiego,Jamaica
Lions Club International Foundation,Jamaica
Outreach International,Jamaica
Pan American Health and Education Foundation (PAHEF),Jamaica
PCI-Media Impact,Jamaica
Project C.U.R.E,Jamaica
Stop Hunger Now,Jamaica
United Way Worldwide,Jamaica
Winrock International,Jamaica
World Learning,Jamaica
Adventist Development and Relief Agency International,Japan
American Red Cross International Services,Japan
AmeriCares,Japan
Baptist World Alliance,Japan
Direct Relief International,Japan
Disability Rights Education and Defense Fund (DREDF),Japan
Giving Children Hope,Japan
Global Health Council,Japan
GlobalGiving,Japan
Habitat for Humanity International,Japan
International Medical Corps,Japan
International Social Service - United States of America Branch Inc.,Japan
International Youth Foundation,Japan
Habitat for Humanity International,Afghanistan
Habitat for Humanity International,Argentina
Habitat for Humanity International,Armenia
Habitat for Humanity International,Australia
Latter-day Saint Charities,Japan
Lions Club International Foundation,Japan
Management Sciences for Health (MSH),Japan
Mercy Corps,Japan
Operation Blessing International Relief and Development Corporation,Japan
Presbyterian Disaster Assistance,Japan
Relief International,Japan
Taiwan Buddhist Tzu Chi Foundation,Japan
The Global FoodBanking Network (GFN),Japan
The Hunger Project,Japan
U.S. Committee for Refugees & Immigrants,Japan
United Way Worldwide,Japan
World Vision,Japan
ACDI/VOCA,Jordan
American Near East Refugee Aid,Jordan
America's Development Foundation,Jordan
Baptist World Alliance,Jordan
CARE,Jordan
Catholic Relief Services,Jordan
CBM,Jordan
CHF International,Jordan
Episcopal Relief & Development,Jordan
Friends of ACTED,Jordan
Global Health Council,Jordan
Habitat for Humanity International,Jordan
Handicap International USA,Jordan
Heart to Heart International,Jordan
International Catholic Migration Commission (ICMC),Jordan
International Center for Not-for-Profit Law,Jordan
International Medical Corps,Jordan
International Orthodox Christian Charities (IOCC),Jordan
International Relief & Development,Jordan
International Rescue Committee (IRC),Jordan
International Youth Foundation,Jordan
Islamic Relief USA,Jordan
Jesuit Refugee Service,Jordan
Life for Relief and Development,Jordan
Lions Club International Foundation,Jordan
Lutheran World Relief (LWR),Jordan
Mercy Corps,Jordan
Mobility International USA,Jordan
One Economy Corporation,Jordan
Pathfinder International,Jordan
Project C.U.R.E,Jordan
Relief International,Jordan
Save the Children,Jordan
Taiwan Buddhist Tzu Chi Foundation,Jordan
The Global FoodBanking Network (GFN),Jordan
World Learning,Jordan
World Vision,Jordan
Helping Hand for Relief and Development,Kashmir
Adventist Development and Relief Agency International,Kazakhstan
American Jewish Joint Distribution Committee,Kazakhstan
American Red Cross International Services,Kazakhstan
Global Fund for Children,Kazakhstan
Global Health Council,Kazakhstan
International Center for Not-for-Profit Law,Kazakhstan
Lions Club International Foundation,Kazakhstan
Management Sciences for Health (MSH),Kazakhstan
PATH,Kazakhstan
Project C.U.R.E,Kazakhstan
Save the Children,Kazakhstan
Stop Hunger Now,Kazakhstan
ACDI/VOCA,Kenya
Action Against Hunger | ACF International,Kenya
ActionAid International USA,Kenya
Adventist Development and Relief Agency International,Kenya
African Medical & Research Foundation,Kenya
Aga Khan Foundation USA,Kenya
American Jewish World Service,Kenya
American Red Cross International Services,Kenya
AmeriCares,Kenya
Ananda Marga Universal Relief Team,Kenya
Baptist World Alliance,Kenya
Brother's Brother Foundation,Kenya
CARE,Kenya
Catholic Relief Services,Kenya
CBM,Kenya
Handicap International USA,Afghanistan
Handicap International USA,Albania
Handicap International USA,Algeria
Handicap International USA,Angola
CHF International,Kenya
ChildFund International,Kenya
Christian Reformed World Relief Committee,Kenya
Church World Service,Kenya
CONCERN Worldwide,Kenya
Congressional Hunger Center,Kenya
Direct Relief International,Kenya
Education Development Center (EDC),Kenya
Episcopal Relief & Development,Kenya
Family Care International,Kenya
Friends of ACTED,Kenya
Giving Children Hope,Kenya
Global Fund for Children,Kenya
Global Health Council,Kenya
GlobalGiving,Kenya
Habitat for Humanity International,Kenya
Handicap International USA,Kenya
Heart to Heart International,Kenya
Hebrew Immigrant Aid Society,Kenya
Heifer International,Kenya
HelpAge USA,Kenya
Helping Hand for Relief and Development,Kenya
IMA World Health,Kenya
International Center for Not-for-Profit Law,Kenya
International Center for Research on Women (ICRW),Kenya
International Medical Corps,Kenya
International Rescue Committee (IRC),Kenya
International Youth Foundation,Kenya
IntraHealth International Inc.,Kenya
Islamic Relief USA,Kenya
Jesuit Refugee Service,Kenya
Jhpiego,Kenya
Life for Relief and Development,Kenya
Lions Club International Foundation,Kenya
Lutheran World Relief (LWR),Kenya
Management Sciences for Health (MSH),Kenya
MAP International,Kenya
Medical Care Development,Kenya
Medical Emergency Relief International (Merlin),Kenya
Medical Teams International,Kenya
Mercy Corps,Kenya
Mercy USA for Aid and Development,Kenya
Millennium Promise,Kenya
National Peace Corps Association,Kenya
One Economy Corporation,Kenya
Operation Blessing International Relief and Development Corporation,Kenya
Pact,Kenya
PATH,Kenya
Pathfinder International,Kenya
Perkins International,Kenya
Plan,Kenya
Presbyterian Disaster Assistance,Kenya
Project C.U.R.E,Kenya
ProLiteracy Worldwide,Kenya
Refugees International,Kenya
Religions for Peace,Kenya
Save the Children,Kenya
Solar Cookers International,Kenya
Heart to Heart International,Afghanistan
Heart to Heart International,Antigua and Barbuda
Solidarity Center,Kenya
Stop Hunger Now,Kenya
U.S. Committee for Refugees & Immigrants,Kenya
Unitarian Universalist Service Committee,Kenya
United Nations Foundation,Kenya
Winrock International,Kenya
World Concern,Kenya
World Connect,Kenya
World Neighbors,Kenya
World Relief,Kenya
World Vision,Kenya
World Wildlife Fund (WWF),Kenya
American Red Cross International Services,Kiribati
AmeriCares,Kosovo
Bethany Christian Service International,Kosovo
CARE,Kosovo
Catholic Relief Services,Kosovo
CHF International,Kosovo
Development Gateway,Kosovo
Education Development Center (EDC),Kosovo
Handicap International USA,Kosovo
Heifer International,Kosovo
Helping Hand for Relief and Development,Kosovo
Information Management and Mine Action Programs (IMMAP),Kosovo
Institute for Sustainable Communities,Kosovo
International Center for Not-for-Profit Law,Kosovo
International Foundation for Electoral Systems (IFES),Kosovo
International Relief & Development,Kosovo
International Rescue Committee (IRC),Kosovo
International Youth Foundation,Kosovo
Islamic Relief USA,Kosovo
Mercy Corps,Kosovo
Taiwan Buddhist Tzu Chi Foundation,Kosovo
Women for Women International,Kosovo
World Learning,Kosovo
World Relief,Kosovo
World Vision,Kosovo
Global Health Council,Kuwait
Solidarity Center,Kuwait
Adventist Development and Relief Agency International,Kyrgyzstan
Aga Khan Foundation USA,Kyrgyzstan
American Jewish Joint Distribution Committee,Kyrgyzstan
American Red Cross International Services,Kyrgyzstan
Baptist World Alliance,Kyrgyzstan
Brother's Brother Foundation,Kyrgyzstan
Catholic Relief Services,Kyrgyzstan
Counterpart International,Kyrgyzstan
Friends of ACTED,Kyrgyzstan
Global Fund for Children,Kyrgyzstan
Heartland Alliance,Afghanistan
Global Health Council,Kyrgyzstan
Habitat for Humanity International,Kyrgyzstan
Handicap International USA,Kyrgyzstan
HelpAge USA,Kyrgyzstan
International Center for Not-for-Profit Law,Kyrgyzstan
International Foundation for Electoral Systems (IFES),Kyrgyzstan
International Medical Corps,Kyrgyzstan
International Rescue Committee (IRC),Kyrgyzstan
International Youth Foundation,Kyrgyzstan
Management Sciences for Health (MSH),Kyrgyzstan
Mercy Corps,Kyrgyzstan
PATH,Kyrgyzstan
Hebrew Immigrant Aid Society,Argentina
Project C.U.R.E,Kyrgyzstan
Save the Children,Kyrgyzstan
Solidarity Center,Kyrgyzstan
ActionAid International USA,Laos
Adventist Development and Relief Agency International,Laos
American Red Cross International Services,Laos
Brother's Brother Foundation,Laos
CARE,Laos
Catholic Relief Services,Laos
Heifer International,Albania
Heifer International,Argentina
Heifer International,Armenia
CBM,Laos
Christian Reformed World Relief Committee,Laos
Church World Service,Laos
CONCERN Worldwide,Laos
Development Gateway,Laos
Direct Relief International,Laos
GlobalGiving,Laos
Habitat for Humanity International,Laos
Handicap International USA,Laos
HelpAge USA,Laos
Information Management and Mine Action Programs (IMMAP),Laos
International Center for Not-for-Profit Law,Laos
International Center for Research on Women (ICRW),Laos
International Relief & Development,Laos
Lions Club International Foundation,Laos
Management Sciences for Health (MSH),Laos
Operation Blessing International Relief and Development Corporation,Laos
Oxfam America,Laos
PCI-Media Impact,Laos
Plan,Laos
Project C.U.R.E,Laos
Save the Children,Laos
Winrock International,Laos
World Concern,Laos
World Vision,Laos
American Jewish Joint Distribution Committee,Latvia
Baptist World Alliance,Latvia
Heifer International,Latvia
International Center for Not-for-Profit Law,Latvia
Lions Club International Foundation,Latvia
ACDI/VOCA,Lebanon
Action Against Hunger | ACF International,Lebanon
American Near East Refugee Aid,Lebanon
AmeriCares,Lebanon
Catholic Relief Services,Lebanon
CHF International,Lebanon
Development Gateway,Lebanon
Education Development Center (EDC),Lebanon
Friends of ACTED,Lebanon
Giving Children Hope,Lebanon
Global Fund for Children,Lebanon
Global Health Council,Lebanon
GlobalGiving,Lebanon
Habitat for Humanity International,Lebanon
Handicap International USA,Lebanon
Heartland Alliance,Lebanon
Information Management and Mine Action Programs (IMMAP),Lebanon
International Catholic Migration Commission (ICMC),Lebanon
International Center for Not-for-Profit Law,Lebanon
International Medical Corps,Lebanon
International Orthodox Christian Charities (IOCC),Lebanon
International Relief & Development,Lebanon
International Rescue Committee (IRC),Lebanon
Islamic Relief USA,Lebanon
Life for Relief and Development,Lebanon
Lions Club International Foundation,Lebanon
Lutheran World Relief (LWR),Lebanon
Mercy Corps,Lebanon
Mercy USA for Aid and Development,Lebanon
Project C.U.R.E,Lebanon
Refugees International,Lebanon
Relief International,Lebanon
Save the Children,Lebanon
U.S. Committee for Refugees & Immigrants,Lebanon
Winrock International,Lebanon
World Rehabilitation Fund,Lebanon
World Vision,Lebanon
ActionAid International USA,Lesotho
African Medical & Research Foundation,Lesotho
CARE,Lesotho
Catholic Relief Services,Lesotho
CBM,Lesotho
Giving Children Hope,Lesotho
Global Health Council,Lesotho
GlobalGiving,Lesotho
Habitat for Humanity International,Lesotho
IntraHealth International Inc.,Lesotho
Jhpiego,Lesotho
Lions Club International Foundation,Lesotho
Management Sciences for Health (MSH),Lesotho
Pact,Lesotho
Project C.U.R.E,Lesotho
Solidarity Center,Lesotho
Taiwan Buddhist Tzu Chi Foundation,Lesotho
United Nations Foundation,Lesotho
Winrock International,Lesotho
World Vision,Lesotho
ACDI/VOCA,Liberia
Action Against Hunger | ACF International,Liberia
ActionAid International USA,Liberia
Adventist Development and Relief Agency International,Liberia
African Medical & Research Foundation,Liberia
Africare,Liberia
American Jewish World Service,Liberia
American Red Cross International Services,Liberia
American Refugee Committee,Liberia
Helping Hand for Relief and Development,Afghanistan
AmeriCares,Liberia
Baptist World Alliance,Liberia
BRAC USA,Liberia
Brother's Brother Foundation,Liberia
CARE,Liberia
Catholic Relief Services,Liberia
CBM,Liberia
CHF International,Liberia
ChildFund International,Liberia
Christian Reformed World Relief Committee,Liberia
CONCERN Worldwide,Liberia
Development Gateway,Liberia
Direct Relief International,Liberia
Education Development Center (EDC),Liberia
Episcopal Relief & Development,Liberia
Global Fund for Children,Liberia
Global Health Council,Liberia
GlobalGiving,Liberia
Handicap International USA,Liberia
Heart to Heart International,Liberia
Information Management and Mine Action Programs (IMMAP),Liberia
International Center for Research on Women (ICRW),Liberia
International Foundation for Electoral Systems (IFES),Liberia
International Relief & Development,Liberia
International Rescue Committee (IRC),Liberia
Jhpiego,Liberia
Lions Club International Foundation,Liberia
Management Sciences for Health (MSH),Liberia
Medical Care Development,Liberia
Medical Emergency Relief International (Merlin),Liberia
Medical Teams International,Liberia
Mercy Corps,Liberia
PATH,Liberia
Humane Society International (HSI),Australia
PCI (Project Concern International),Liberia
Plan,Liberia
Presbyterian Disaster Assistance,Liberia
Project C.U.R.E,Liberia
ProLiteracy Worldwide,Liberia
Religions for Peace,Liberia
Solidarity Center,Liberia
Stop Hunger Now,Liberia
Taiwan Buddhist Tzu Chi Foundation,Liberia
United Nations Foundation,Liberia
Winrock International,Liberia
World Hope International,Liberia
World Learning,Liberia
AmeriCares,Libya
Campaign for Innocent Victims in Conflict,Libya
Catholic Relief Services,Libya
Information Management and Mine Action Programs (IMMAP),Afghanistan
Information Management and Mine Action Programs (IMMAP),Armenia
Friends of ACTED,Libya
GlobalGiving,Libya
International Medical Corps,Libya
Mercy Corps,Libya
Presbyterian Disaster Assistance,Libya
Refugees International,Libya
Lions Club International Foundation,Liechtenstein
American Jewish Joint Distribution Committee,Lithuania
Baptist World Alliance,Lithuania
Bethany Christian Service International,Lithuania
Giving Children Hope,Lithuania
Global Health Council,Lithuania
GlobalGiving,Lithuania
Heifer International,Lithuania
International Center for Not-for-Profit Law,Lithuania
Lions Club International Foundation,Lithuania
Perkins International,Lithuania
Adventist Development and Relief Agency International,Luxembourg
Lions Club International Foundation,Luxembourg
American Jewish Joint Distribution Committee,Macedonia
CARE,Macedonia
Education Development Center (EDC),Macedonia
GlobalGiving,Macedonia
Habitat for Humanity International,Macedonia
Handicap International USA,Macedonia
Heifer International,Macedonia
International Center for Not-for-Profit Law,Macedonia
International Youth Foundation,Macedonia
Jesuit Refugee Service,Macedonia
Lions Club International Foundation,Macedonia
Perkins International,Macedonia
Project C.U.R.E,Macedonia
World Learning,Macedonia
Adventist Development and Relief Agency International,Madagascar
African Medical & Research Foundation,Madagascar
Aga Khan Foundation USA,Madagascar
American Red Cross International Services,Madagascar
AmeriCares,Madagascar
Baptist World Alliance,Madagascar
Brother's Brother Foundation,Madagascar
International Center for Not-for-Profit Law,Afghanistan
International Center for Not-for-Profit Law,Albania
International Center for Not-for-Profit Law,Algeria
International Center for Not-for-Profit Law,Argentina
International Center for Not-for-Profit Law,Armenia
CARE,Madagascar
Catholic Relief Services,Madagascar
CBM,Madagascar
Church World Service,Madagascar
Development Gateway,Madagascar
Direct Relief International,Madagascar
Education Development Center (EDC),Madagascar
Freedom from Hunger,Madagascar
Global Health Council,Madagascar
GlobalGiving,Madagascar
Habitat for Humanity International,Madagascar
Handicap International USA,Madagascar
IntraHealth International Inc.,Madagascar
Jhpiego,Madagascar
Lions Club International Foundation,Madagascar
Management Sciences for Health (MSH),Madagascar
Medical Care Development,Madagascar
Pact,Madagascar
PATH,Madagascar
Project C.U.R.E,Madagascar
Stop Hunger Now,Madagascar
Water Aid America,Madagascar
World Wildlife Fund (WWF),Madagascar
ACDI/VOCA,Malawi
ActionAid International USA,Malawi
Adventist Development and Relief Agency International,Malawi
African Medical & Research Foundation,Malawi
Africare,Malawi
AmeriCares,Malawi
Baptist World Alliance,Malawi
Brother's Brother Foundation,Malawi
CARE,Malawi
Catholic Relief Services,Malawi
CBM,Malawi
Christian Reformed World Relief Committee,Malawi
CONCERN Worldwide,Malawi
Development Gateway,Malawi
Direct Relief International,Malawi
Education Development Center (EDC),Malawi
Episcopal Relief & Development,Malawi
Giving Children Hope,Malawi
Global Fund for Children,Malawi
Global Health Council,Malawi
GlobalGiving,Malawi
Habitat for Humanity International,Malawi
Heart to Heart International,Malawi
Heifer International,Malawi
Helping Hand for Relief and Development,Malawi
International Center for Research on Women (ICRW),Malawi
IntraHealth International Inc.,Malawi
Jesuit Refugee Service,Malawi
Jhpiego,Malawi
Lions Club International Foundation,Malawi
Management Sciences for Health (MSH),Malawi
Medical Care Development,Malawi
Medical Teams International,Malawi
Millennium Promise,Malawi
Operation USA,Malawi
Outreach International,Malawi
Pact,Malawi
PATH,Malawi
PCI (Project Concern International),Malawi
Perkins International,Malawi
Physicians for Peace,Malawi
Plan,Malawi
Planet Aid,Malawi
Presbyterian Disaster Assistance,Malawi
Project C.U.R.E,Malawi
ReSurge International,Malawi
Save the Children,Malawi
Stop Hunger Now,Malawi
The Hunger Project,Malawi
United Nations Foundation,Malawi
Water Aid America,Malawi
Winrock International,Malawi
World Hope International,Malawi
World Relief,Malawi
World Vision,Malawi
World Wildlife Fund (WWF),Malawi
American Red Cross International Services,Malaysia
Baptist World Alliance,Malaysia
Brother's Brother Foundation,Malaysia
Global Health Council,Malaysia
Habitat for Humanity International,Malaysia
International Catholic Migration Commission (ICMC),Malaysia
International Rescue Committee (IRC),Malaysia
Jesuit Refugee Service,Malaysia
Lions Club International Foundation,Malaysia
Perkins International,Malaysia
ProLiteracy Worldwide,Malaysia
Refugees International,Malaysia
Solidarity Center,Malaysia
Taiwan Buddhist Tzu Chi Foundation,Malaysia
U.S. Committee for Refugees & Immigrants,Malaysia
United Way Worldwide,Malaysia
Winrock International,Malaysia
World Vision,Malaysia
International Foundation for Electoral Systems (IFES),Maldives
Lions Club International Foundation,Maldives
ACDI/VOCA,Mali
Action Against Hunger | ACF International,Mali
Adventist Development and Relief Agency International,Mali
African Medical & Research Foundation,Mali
International Foundation for Electoral Systems (IFES),Afghanistan
International Foundation for Electoral Systems (IFES),Albania
International Foundation for Electoral Systems (IFES),Armenia
Africare,Mali
Aga Khan Foundation USA,Mali
American Red Cross International Services,Mali
AmeriCares,Mali
America's Development Foundation,Mali
Brother's Brother Foundation,Mali
CARE,Mali
Catholic Relief Services,Mali
Christian Reformed World Relief Committee,Mali
Direct Relief International,Mali
Education Development Center (EDC),Mali
Family Care International,Mali
Freedom from Hunger,Mali
Global Health Council,Mali
GlobalGiving,Mali
Handicap International USA,Mali
Helen Keller International,Mali
IntraHealth International Inc.,Mali
Islamic Relief USA,Mali
Jhpiego,Mali
Lions Club International Foundation,Mali
Lutheran World Relief (LWR),Mali
Management Sciences for Health (MSH),Mali
Medical Care Development,Mali
Medical Teams International,Mali
Millennium Promise,Mali
Oxfam America,Mali
PATH,Mali
Physicians for Peace,Mali
Plan,Mali
Population Action International,Mali
Project C.U.R.E,Mali
ProLiteracy Worldwide,Mali
ReSurge International,Mali
Save the Children,Mali
Trickle Up Program,Mali
United Nations Foundation,Mali
Water Aid America,Mali
Winrock International,Mali
World Connect,Mali
International Medical Corps,Afghanistan
World Neighbors,Mali
World Vision,Mali
International Rescue Committee (IRC),Malta
Jesuit Refugee Service,Malta
Lions Club International Foundation,Malta
United Nations Foundation,Malta
Heart to Heart International,Marshall Islands
Lions Club International Foundation,Marshall Islands
Taiwan Buddhist Tzu Chi Foundation,Marshall Islands
Action Against Hunger | ACF International,Mauritania
American Red Cross International Services,Mauritania
Catholic Relief Services,Mauritania
Counterpart International,Mauritania
Giving Children Hope,Mauritania
International Relief & Development,Mauritania
Lions Club International Foundation,Mauritania
Management Sciences for Health (MSH),Mauritania
Project C.U.R.E,Mauritania
World Vision,Mauritania
Global Health Council,Mauritius
Lions Club International Foundation,Mauritius
Society for International Development (SID),Mauritius
Adventist Development and Relief Agency International,Mexico
American Friends Service Committee,Mexico
American Jewish Joint Distribution Committee,Mexico
American Jewish World Service,Mexico
AmeriCares,Mexico
Americas ReliefTeam,Mexico
Amigos de las Americas,Mexico
Baptist World Alliance,Mexico
Brother's Brother Foundation,Mexico
Catholic Relief Services,Mexico
CBM,Mexico
ChildFund International,Mexico
Christian Reformed World Relief Committee,Mexico
Concern America,Mexico
Development Gateway,Mexico
Direct Relief International,Mexico
Episcopal Relief & Development,Mexico
Family Care International,Mexico
International Orthodox Christian Charities (IOCC),Albania
Food for the Poor (FFP),Mexico
Freedom from Hunger,Mexico
Giving Children Hope,Mexico
Global Fund for Children,Mexico
Global Health Council,Mexico
Global Resource Services,Mexico
GlobalGiving,Mexico
Habitat for Humanity International,Mexico
Heart to Heart International,Mexico
Heartland Alliance,Mexico
Heifer International,Mexico
International Center for Not-for-Profit Law,Mexico
International Center for Research on Women (ICRW),Mexico
International Youth Foundation,Mexico
Lions Club International Foundation,Mexico
International Relief & Development,Afghanistan
International Relief & Development,Armenia
Management Sciences for Health (MSH),Mexico
Medical Teams International,Mexico
One Economy Corporation,Mexico
Operation Blessing International Relief and Development Corporation,Mexico
Oxfam America,Mexico
Pan American Development Foundation,Mexico
Pan American Health and Education Foundation (PAHEF),Mexico
PATH,Mexico
PCI (Project Concern International),Mexico
PCI-Media Impact,Mexico
Perkins International,Mexico
Physicians for Human Rights,Mexico
Plant with Purpose,Mexico
Population Action International,Mexico
Project C.U.R.E,Mexico
ProLiteracy Worldwide,Mexico
Save the Children,Mexico
Solidarity Center,Mexico
Stop Hunger Now,Mexico
Taiwan Buddhist Tzu Chi Foundation,Mexico
The Global FoodBanking Network (GFN),Mexico
The Hunger Project,Mexico
Unitarian Universalist Service Committee,Mexico
United Nations Foundation,Mexico
United Way Worldwide,Mexico
World Vision,Mexico
AmeriCares,Micronesia
Lions Club International Foundation,Micronesia
Taiwan Buddhist Tzu Chi Foundation,Micronesia
ACDI/VOCA,Moldova
Adventist Development and Relief Agency International,Moldova
American Jewish Joint Distribution Committee,Moldova
AmeriCares,Moldova
Baptist World Alliance,Moldova
Brother's Brother Foundation,Moldova
Catholic Relief Services,Moldova
Church World Service,Moldova
International Rescue Committee (IRC),Afghanistan
Counterpart International,Moldova
GlobalGiving,Moldova
Heart to Heart International,Moldova
Heifer International,Moldova
HelpAge USA,Moldova
International Center for Not-for-Profit Law,Moldova
International Foundation for Electoral Systems (IFES),Moldova
International Youth Foundation,Moldova
Keystone Human Services International,Moldova
Lions Club International Foundation,Moldova
Management Sciences for Health (MSH),Moldova
Medical Teams International,Moldova
Winrock International,Moldova
Lions Club International Foundation,Monaco
Action Against Hunger | ACF International,Mongolia
Adventist Development and Relief Agency International,Mongolia
AmeriCares,Mongolia
Brother's Brother Foundation,Mongolia
Catholic Relief Services,Mongolia
CHF International,Mongolia
Development Gateway,Mongolia
Global Fund for Children,Mongolia
Global Health Council,Mongolia
GlobalGiving,Mongolia
Habitat for Humanity International,Mongolia
Holt International Children's Services,Mongolia
International Center for Not-for-Profit Law,Mongolia
Lions Club International Foundation,Mongolia
Mercy Corps,Mongolia
Pact,Mongolia
Project C.U.R.E,Mongolia
Taiwan Buddhist Tzu Chi Foundation,Mongolia
World Vision,Mongolia
World Wildlife Fund (WWF),Mongolia
Baptist World Alliance,Montenegro
CARE,Montenegro
CHF International,Montenegro
Handicap International USA,Montenegro
International Center for Not-for-Profit Law,Montenegro
International Orthodox Christian Charities (IOCC),Montenegro
International Relief & Development,Montenegro
