ID,ISO,Country,Member Organization,Number of Active Organizations:
132,MDG,Madagascar,"Adventist Development and Relief Agency International, African Medical & Research Foundation, Aga Khan Foundation USA, American Red Cross International Services, AmeriCares, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Church World Service, Development Gateway, Direct Relief International, Education Development Center (EDC), Freedom from Hunger, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, IntraHealth International Inc., Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, Pact, PATH, Perkins International, Project C.U.R.E, Stop Hunger Now, Water Aid America, Winrock International, World Food Program USA (WFP USA), World Wildlife Fund (WWF)",
70,MWI,Malawi,"ACDI/VOCA, ActionAid International USA, Adventist Development and Relief Agency International, African Medical & Research Foundation, Africare, AmeriCares, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Christian Reformed World Relief Committee, CONCERN Worldwide, Development Gateway, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Heart to Heart International, Heifer International, Helping Hand for Relief and Development, International Center for Research on Women (ICRW), IntraHealth International Inc., Islamic Relief USA, Jesuit Refugee Service, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, Medical Teams International, Outreach International, Pact, PATH, PCI, Perkins International, Physicians for Peace, Plan, Planet Aid, Presbyterian Disaster Assistance, Project C.U.R.E, ReSurge International, Save the Children, Stop Hunger Now, The Hunger Project, United Nations Foundation, Water Aid America, Winrock International, World Food Program USA (WFP USA), World Relief, World Vision, World Wildlife Fund (WWF)",
133,MYS,Malaysia,"American Red Cross International Services, Baptist World Alliance, Brother's Brother Foundation, Global Health Council, GlobalGiving, Habitat for Humanity International, International Catholic Migration Commission (ICMC), International Rescue Committee (IRC), Jesuit Refugee Service, Joint Council on International Children’s Services, Lions Club International Foundation, Perkins International, ProLiteracy Worldwide, Refugees International, Solidarity Center, Taiwan Buddhist Tzu Chi Foundation, U.S. Committee for Refugees & Immigrants, Winrock International, World Vision",
134,MDV,Maldives,"International Foundation for Electoral Systems (IFES), Lions Club International Foundation",
38,MLI,Mali,"ACDI/VOCA, Action Against Hunger | ACF International, Adventist Development and Relief Agency International, Africare, Aga Khan Foundation USA, American Red Cross International Services, AmeriCares, America's Development Foundation, Brother's Brother Foundation, CARE, Catholic Relief Services, Christian Reformed World Relief Committee, Direct Relief International, Education Development Center (EDC), Family Care International, Freedom from Hunger, Global Health Council, GlobalGiving, Handicap International USA, Helen Keller International, International Relief & Development, IntraHealth International Inc., Islamic Relief USA, Jhpiego, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Medical Care Development, Medical Teams International, Oxfam America, PATH, Perkins International, Physicians for Peace, Plan, Population Action International, Project C.U.R.E, ProLiteracy Worldwide, ReSurge International, Save the Children, Trickle Up Program, United Nations Foundation, Water Aid America, Winrock International, World Connect, World Food Program USA (WFP USA), World Neighbors, World Vision",
135,MLT,Malta,"International Rescue Committee (IRC), Jesuit Refugee Service, Lions Club International Foundation, United Nations Foundation",
189,MHL,Marshall Islands,"Heart to Heart International, Lions Club International Foundation, Taiwan Buddhist Tzu Chi Foundation",
39,MRT,Mauritania,"Action Against Hunger | ACF International, American Red Cross International Services, Catholic Relief Services, Counterpart International, Giving Children Hope, International Relief & Development, Lions Club International Foundation, Management Sciences for Health (MSH), Perkins International, Project C.U.R.E, World Food Program USA (WFP USA), World Vision",
186,MUS,Mauritius,"Global Health Council, Lions Club International Foundation, Society for International Development (SID), Winrock International",
136,MEX,Mexico,"Adventist Development and Relief Agency International, American Friends Service Committee, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Amigos de las Americas, Baptist World Alliance, Brother's Brother Foundation, Catholic Relief Services, CBM, ChildFund International, Christian Reformed World Relief Committee, Concern America, Development Gateway, Direct Relief International, Episcopal Relief & Development, Family Care International, Food for the Poor (FFP), Freedom from Hunger, Giving Children Hope, Global Fund for Children, Global Health Council, Global Resource Services, GlobalGiving, Habitat for Humanity International, Heart to Heart International, Heartland Alliance, Heifer International, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Relief Teams, International Youth Foundation, Joint Council on International Children’s Services, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Teams International, One Economy Corporation, Operation Blessing International Relief and Development Corporation, Oxfam America, Pan American Development Foundation, Pan American Health and Education Foundation (PAHEF), PATH, PCI, Perkins International, Plant with Purpose, Population Action International, Project C.U.R.E, ProLiteracy Worldwide, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), The Hunger Project, Unitarian Universalist Service Committee, United Nations Foundation, World Learning, World Vision",
137,FSM,Micronesia,"AmeriCares, Lions Club International Foundation, Taiwan Buddhist Tzu Chi Foundation",
138,MDA,Moldova,"ACDI/VOCA, Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, AmeriCares, Baptist World Alliance, Brother's Brother Foundation, Catholic Relief Services, Church World Service, Counterpart International, GlobalGiving, Heart to Heart International, Heifer International, HelpAge USA, International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Youth Foundation, Keystone Human Services International, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Teams International, Perkins International, Winrock International",
210,MCO,Monaco,Lions Club International Foundation,
40,MNG,Mongolia,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, AmeriCares, Brother's Brother Foundation, Catholic Relief Services, CHF International, Development Gateway, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Holt International Children's Services, International Center for Not-for-Profit Law, Lions Club International Foundation, Mercy Corps, Pact, Project C.U.R.E, Taiwan Buddhist Tzu Chi Foundation, World Vision, World Wildlife Fund (WWF)",
139,MNE,Montenegro,"American Jewish Joint Distribution Committee, Baptist World Alliance, CARE, CHF International, Handicap International USA, International Center for Not-for-Profit Law, International Orthodox Christian Charities (IOCC), International Youth Foundation, Lions Club International Foundation, Project C.U.R.E, World Vision",
140,MAR,Morocco,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, AmeriCares, America's Development Foundation, CARE, CBM, Development Gateway, Global Health Council, GlobalGiving, Handicap International USA, International Center for Not-for-Profit Law, International Youth Foundation, Lions Club International Foundation, Physicians for Peace, Project C.U.R.E, ProLiteracy Worldwide, Solidarity Center, U.S. Committee for Refugees & Immigrants, World Connect",
72,MOZ,Mozambique,"ACDI/VOCA, ActionAid International USA, Adventist Development and Relief Agency International, African Medical & Research Foundation, Africare, Aga Khan Foundation USA, Air Serv International, American Red Cross International Services, AmeriCares, America's Development Foundation, Ananda Marga Universal Relief Team, Baptist World Alliance, Brother's Brother Foundation, CARE, ChildFund International, Christian Reformed World Relief Committee, Church World Service, Concern America, CONCERN Worldwide, Development Gateway, Episcopal Relief & Development, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heifer International, Helen Keller International, HelpAge USA, International Center for Research on Women (ICRW), International Relief & Development, IntraHealth International Inc., Jhpiego, Latter-day Saint Charities, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Teams International, National Cooperative Business Association (NCBA), PATH, Pathfinder International, Plan, Planet Aid, Project C.U.R.E, Save the Children, Solidarity Center, Stop Hunger Now, The Hunger Project, United Nations Foundation, Water Aid America, Winrock International, World Food Program USA (WFP USA), World Relief, World Vision",
20,MMR,Myanmar,"Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, American Friends Service Committee, American Jewish Joint Distribution Committee, American Jewish World Service, AmeriCares, Ananda Marga Universal Relief Team, Baptist World Alliance, CARE, Catholic Relief Services, CBM, Christian Reformed World Relief Committee, Church World Service, Direct Relief International, Episcopal Relief & Development, Friends of ACTED, Giving Children Hope, Global Health Council, Habitat for Humanity International, Helen Keller International, HelpAge USA, Information Management and Mine Action Programs (IMMAP), International Medical Health Organization (IMHO), International Rescue Committee (IRC), Jesuit Refugee Service, Lions Club International Foundation, Medical Emergency Relief International (Merlin), Mercy Corps, Operation USA, Oxfam America, Pact, Project C.U.R.E, Refugees International, Relief International, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, U.S. Committee for Refugees & Immigrants, Unitarian Universalist Service Committee, World Concern, World Food Program USA (WFP USA), World Learning, World Vision",
141,NAM,Namibia,"Adventist Development and Relief Agency International, African Medical & Research Foundation, American Jewish World Service, American Red Cross International Services, Baptist World Alliance, Catholic Relief Services, Episcopal Relief & Development, Global Health Council, GlobalGiving, International Center for Research on Women (ICRW), International Rescue Committee (IRC), IntraHealth International Inc., Lions Club International Foundation, Management Sciences for Health (MSH), Pact, Perkins International, Project C.U.R.E, Winrock International, World Food Program USA (WFP USA), World Wildlife Fund (WWF)",
73,NPL,Nepal,"ActionAid International USA, Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, American Red Cross International Services, AmeriCares, Baptist World Alliance, CARE, Catholic Relief Services, CBM, Centre for Development and Population Activities, CONCERN Worldwide, Development Gateway, Direct Relief International, Global Fund for Children, Global Health Council, Global Resource Services, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heifer International, Helen Keller International, HelpAge USA, Holt International Children's Services, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Foundation for Electoral Systems (IFES), International Relief & Development, International Rescue Committee (IRC), Jesuit Refugee Service, Jhpiego, Joint Council on International Children’s Services, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Medical Emergency Relief International (Merlin), Mercy Corps, Pathfinder International, Perkins International, Plan, Project C.U.R.E, ProLiteracy Worldwide, Relief International, ReSurge International, Save the Children, Seva Foundation, Solar Cookers International, Solidarity Center, Taiwan Buddhist Tzu Chi Foundation, U.S. Committee for Refugees & Immigrants, Water Aid America, Winrock International, World Concern, World Food Program USA (WFP USA), World Neighbors, World Vision, World Wildlife Fund (WWF)",
200,ANT,Netherland Antilles,Americas ReliefTeam,
74,NLD,Netherlands,"ActionAid International USA, Adventist Development and Relief Agency International, AmeriCares, Baptist World Alliance, Global Health Council, GlobalGiving, Habitat for Humanity International, International Social Service - United States of America Branch Inc., International Youth Foundation, Lions Club International Foundation, Society for International Development (SID), Taiwan Buddhist Tzu Chi Foundation, The Hunger Project, World Society for the Protection of Animals",
142,NZL,New Zealand,"Adventist Development and Relief Agency International, American Red Cross International Services, Baptist World Alliance, Global Health Council, GlobalGiving, Habitat for Humanity International, International Center for Not-for-Profit Law, International Social Service - United States of America Branch Inc., Lions Club International Foundation, Population Action International, Presbyterian Disaster Assistance, Taiwan Buddhist Tzu Chi Foundation, The Hunger Project, World Society for the Protection of Animals",
41,NIC,Nicaragua,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, American Jewish World Service, American Red Cross International Services, AmeriCares, America's Development Foundation, Americas ReliefTeam, Amigos de las Americas, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, CHF International, Christian Reformed World Relief Committee, Church World Service, Development Gateway, Direct Relief International, Episcopal Relief & Development, Food for the Poor (FFP), Friends of ACTED, Giving Children Hope, Global Fund for Children, Global Health Council, Global Links, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Heifer International, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Foundation for Electoral Systems (IFES), International Youth Foundation, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Medical Teams International, Mercy Corps, Millennium Water Alliance, National Cooperative Business Association (NCBA), Operation Blessing International Relief and Development Corporation, Operation USA, Outreach International, Pact, PATH, PCI, Perkins International, Physicians for Peace, Plan, Project C.U.R.E, ProLiteracy Worldwide, ReSurge International, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, Trickle Up Program, Unitarian Universalist Service Committee, Water Aid America, World Concern, World Food Program USA (WFP USA), World Learning, World Relief, World Vision",
42,NER,Niger,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, Africare, American Red Cross International Services, AmeriCares, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Christian Reformed World Relief Committee, CONCERN Worldwide, Counterpart International, Development Gateway, Direct Relief International, Friends of ACTED, Giving Children Hope, Global Health Council, GlobalGiving, Handicap International USA, Helen Keller International, Helping Hand for Relief and Development, International Foundation for Electoral Systems (IFES), International Relief & Development, Islamic Relief USA, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Medical Teams International, Mercy Corps, National Cooperative Business Association (NCBA), Operation Blessing International Relief and Development Corporation, Plan, ProLiteracy Worldwide, Relief International, Stop Hunger Now, Winrock International, World Concern, World Food Program USA (WFP USA), World Vision",
43,NGA,Nigeria,"Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, African Medical & Research Foundation, Africare, American Jewish World Service, American Red Cross International Services, AmeriCares, Ananda Marga Universal Relief Team, Baptist World Alliance, Brother's Brother Foundation, Catholic Relief Services, CBM, Centre for Development and Population Activities, Christian Reformed World Relief Committee, Family Care International, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Heart to Heart International, Heartland Alliance, Helen Keller International, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Foundation for Electoral Systems (IFES), International Youth Foundation, IntraHealth International Inc., Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, ONE Campaign, One Economy Corporation, Operation Blessing International Relief and Development Corporation, Pact, PATH, Pathfinder International, Perkins International, Physicians for Peace, Project C.U.R.E, ProLiteracy Worldwide, Relief International, Save the Children, Solidarity Center, Stop Hunger Now, United Nations Foundation, Water Aid America, Winrock International, Women for Women International",
143,PRK,North Korea,"American Friends Service Committee, American Red Cross International Services, AmeriCares, Catholic Relief Services, CONCERN Worldwide, Global Resource Services, Handicap International USA, Heart to Heart International, Korean American Sharing Movement, Mercy Corps, Project C.U.R.E, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, World Food Program USA (WFP USA), World Vision",
203,,Northern Ireland,Habitat for Humanity International,
144,NOR,Norway,"Adventist Development and Relief Agency International, Baptist World Alliance, Global Health Council, International Foundation for Electoral Systems (IFES), Lions Club International Foundation, Religions for Peace, United Nations Foundation",
215,OMN,Oman,Perkins International,
44,PAK,Pakistan,"Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, Aga Khan Foundation USA, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, American Refugee Committee, AmeriCares, BRAC USA, Brother's Brother Foundation, Campaign for Innocent Victims in Conflict, CARE, Catholic Relief Services, CBM, CHF International, Christian Reformed World Relief Committee, Church World Service, CONCERN Worldwide, Direct Relief International, Education Development Center (EDC), Friends of ACTED, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Handicap International USA, Heart to Heart International, HelpAge USA, Helping Hand for Relief and Development, Information Management and Mine Action Programs (IMMAP), International Catholic Migration Commission (ICMC), International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Medical Corps, International Medical Health Organization (IMHO), International Relief & Development, International Youth Foundation, Islamic Relief USA, Jhpiego, Life for Relief and Development, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Emergency Relief International (Merlin), Mercy Corps, Operation USA, PATH, Pathfinder International, Plan, Presbyterian Disaster Assistance, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Relief International, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, Unitarian Universalist Service Committee, United Nations Foundation, USA for UNHCR, Water Aid America, Winrock International, World Food Program USA (WFP USA), World Rehabilitation Fund, World Vision",
212,PLW,Palau,"GlobalGiving, Lions Club International Foundation",
145,PAN,Panama,"American Red Cross International Services, AmeriCares, America's Development Foundation, Americas ReliefTeam, Amigos de las Americas, Baptist World Alliance, Brother's Brother Foundation, Food for the Poor (FFP), Global Fund for Children, Global Health Council, GlobalGiving, Heart to Heart International, International Center for Not-for-Profit Law, International Rescue Committee (IRC), IntraHealth International Inc., Jesuit Refugee Service, Lions Club International Foundation, Pan American Development Foundation, Perkins International, Population Action International, Project C.U.R.E, Stop Hunger Now, Winrock International",
146,PNG,Papua New Guinea,"Adventist Development and Relief Agency International, American Red Cross International Services, AmeriCares, Baptist World Alliance, CARE, CBM, Direct Relief International, Global Health Council, Heart to Heart International, International Center for Research on Women (ICRW), International Rescue Committee (IRC), Jesuit Refugee Service, Lions Club International Foundation, Pathfinder International, Project C.U.R.E, Save the Children, Taiwan Buddhist Tzu Chi Foundation, Water Aid America, Winrock International, World Vision",
46,PRY,Paraguay,"ACDI/VOCA, Action Against Hunger | ACF International, Adventist Development and Relief Agency International, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Amigos de las Americas, Baptist World Alliance, Brother's Brother Foundation, CBM, Church World Service, GlobalGiving, Habitat for Humanity International, International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Youth Foundation, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Perkins International, Plan, Project C.U.R.E, ProLiteracy Worldwide, Save the Children, Solidarity Center, Taiwan Buddhist Tzu Chi Foundation",
47,PER,Peru,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, American Jewish World Service, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Amigos de las Americas, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, Creative Learning, Direct Relief International, Episcopal Relief & Development, Family Care International, Freedom from Hunger, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Heart to Heart International, Heifer International, HelpAge USA, INMED Partnerships for Children, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Youth Foundation, Jhpiego, Joint Council on International Children’s Services, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Operation Blessing International Relief and Development Corporation, Operation USA, Oxfam America, Pan American Development Foundation, Pan American Health and Education Foundation (PAHEF), PATH, Pathfinder International, Perkins International, Plan, Project C.U.R.E, ProLiteracy Worldwide, Religions for Peace, ReSurge International, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, The Hunger Project, Unitarian Universalist Service Committee, United Nations Foundation, Winrock International, World Connect, World Food Program USA (WFP USA), World Learning, World Neighbors, World Vision, World Wildlife Fund (WWF)",
48,PHL,Philippines,"ACDI/VOCA, Action Against Hunger | ACF International, Adventist Development and Relief Agency International, American Red Cross International Services, AmeriCares, Ananda Marga Universal Relief Team, Baptist World Alliance, Bethany Christian Service International, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, ChildFund International, Christian Reformed World Relief Committee, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Freedom from Hunger, Giving Children Hope, Global Fund for Children, Global Health Council, Global Resource Services, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Heifer International, Helen Keller International, Holt International Children's Services, International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Medical Health Organization (IMHO), International Relief Teams, International Social Service - United States of America Branch Inc., International Youth Foundation, Jesuit Refugee Service, Jhpiego, Joint Council on International Children’s Services, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Medical Emergency Relief International (Merlin), Mercy Corps, Operation Blessing International Relief and Development Corporation, Operation USA, Outreach International, Oxfam America, PATH, Perkins International, Physicians for Peace, Plan, Project C.U.R.E, ProLiteracy Worldwide, Relief International, Save the Children, Solidarity Center, Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), Unitarian Universalist Service Committee, Winrock International, World Connect, World Food Program USA (WFP USA), World Vision",
147,POL,Poland,"American Jewish Joint Distribution Committee, AmeriCares, Baptist World Alliance, GlobalGiving, Habitat for Humanity International, Heifer International, International Center for Not-for-Profit Law, International Youth Foundation, Lions Club International Foundation, Perkins International, Project C.U.R.E",
148,PRT,Portugal,"Adventist Development and Relief Agency International, Aga Khan Foundation USA, Baptist World Alliance, Global Health Council, Habitat for Humanity International, International Social Service - United States of America Branch Inc., International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation",
196,PRI,Puerto Rico,International Youth Foundation,
149,QAT,Qatar,"Perkins International, Solidarity Center",
71,COG,Republic of Congo,"ActionAid International USA, African Medical & Research Foundation, American Red Cross International Services, AmeriCares, Catholic Relief Services, Friends of ACTED, Giving Children Hope, Global Health Council, GlobalGiving, International Relief Teams, Lions Club International Foundation, Stop Hunger Now, Winrock International, World Food Program USA (WFP USA), World Wildlife Fund (WWF)",
150,ROU,Romania,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, AmeriCares, America's Development Foundation, Ananda Marga Universal Relief Team, Baptist World Alliance, Bethany Christian Service International, Bethesda Lutheran Communities, Brother's Brother Foundation, CARE, CHF International, Development Gateway, Direct Relief International, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Heart to Heart International, Heifer International, Holt International Children's Services, International Center for Not-for-Profit Law, International Orthodox Christian Charities (IOCC), International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation, Management Sciences for Health (MSH), Perkins International, Project C.U.R.E, Save the Children, World Vision",
151,RUS,Russia,"ACDI/VOCA, Adventist Development and Relief Agency International, Aga Khan Foundation USA, American Jewish Joint Distribution Committee, American Red Cross International Services, AmeriCares, America's Development Foundation, Baptist World Alliance, Bethany Christian Service International, Bethesda Lutheran Communities, Giving Children Hope, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Hebrew Immigrant Aid Society, Helping Hand for Relief and Development, International Center for Not-for-Profit Law, International Medical Corps, International Rescue Committee (IRC), International Youth Foundation, Joint Council on International Children’s Services, Keystone Human Services International, Lions Club International Foundation, Management Sciences for Health (MSH), Perkins International, Presbyterian Disaster Assistance, Project C.U.R.E, Solidarity Center, Stop Hunger Now, United Nations Foundation, World Vision, World Wildlife Fund (WWF)",
75,RWA,Rwanda,"ACDI/VOCA, ActionAid International USA, Adventist Development and Relief Agency International, African Medical & Research Foundation, Africare, American Jewish Joint Distribution Committee, American Red Cross International Services, American Refugee Committee, AmeriCares, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, CHF International, Church World Service, CONCERN Worldwide, Development Gateway, Direct Relief International, Education Development Center (EDC), Global Fund for Children, Global Health Council, GlobalGiving, Handicap International USA, Heartland Alliance, Heifer International, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Foundation for Electoral Systems (IFES), International Rescue Committee (IRC), IntraHealth International Inc., Jesuit Refugee Service, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), PATH, Plan, Project C.U.R.E, ProLiteracy Worldwide, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, United Nations Foundation, Winrock International, Women for Women International, World Concern, World Connect, World Food Program USA (WFP USA), World Relief, World Vision",
152,WSM,Samoa,"American Red Cross International Services, Brother's Brother Foundation, Catholic Relief Services, Lions Club International Foundation, Project C.U.R.E, World Wildlife Fund (WWF)",
211,SMR,San Marino,Lions Club International Foundation,
153,STP,Sao Tome and Principe,"Adventist Development and Relief Agency International, American Red Cross International Services, Lions Club International Foundation, Taiwan Buddhist Tzu Chi Foundation, Winrock International, World Food Program USA (WFP USA)",
154,SAU,Saudi Arabia,"Global Health Council, International Youth Foundation",
76,SEN,Senegal,"ActionAid International USA, Adventist Development and Relief Agency International, African Medical & Research Foundation, Africare, American Jewish World Service, American Red Cross International Services, AmeriCares, Brother's Brother Foundation, Catholic Relief Services, ChildFund International, Christian Reformed World Relief Committee, Counterpart International, Development Gateway, Direct Relief International, Family Care International, Freedom from Hunger, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Heifer International, Helen Keller International, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Foundation for Electoral Systems (IFES), International Relief & Development, International Rescue Committee (IRC), International Youth Foundation, IntraHealth International Inc., Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), National Cooperative Business Association (NCBA), Oxfam America, PATH, Plan, Project C.U.R.E, Relief International, Save the Children, Taiwan Buddhist Tzu Chi Foundation, The Hunger Project, United Nations Foundation, Winrock International, World Connect, World Food Program USA (WFP USA), World Vision",
155,SRB,Serbia,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, America's Development Foundation, Baptist World Alliance, CARE, Catholic Relief Services, Church World Service, Friends of ACTED, Global Fund for Children, Global Health Council, Handicap International USA, Institute for Sustainable Communities, International Center for Not-for-Profit Law, International Orthodox Christian Charities (IOCC), International Relief & Development, International Youth Foundation, Lions Club International Foundation, Perkins International, Project C.U.R.E, World Learning, World Vision",
190,SYC,Seychelles,"Church World Service, GlobalGiving, Lions Club International Foundation",
49,SLE,Sierra Leone,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, Africare, American Red Cross International Services, AmeriCares, Baptist World Alliance, BRAC USA, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, ChildFund International, Christian Reformed World Relief Committee, CONCERN Worldwide, Direct Relief International, Episcopal Relief & Development, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Handicap International USA, Heifer International, Helen Keller International, Helping Hand for Relief and Development, International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Medical Corps, International Relief Teams, International Rescue Committee (IRC), IntraHealth International Inc., Jhpiego, Latter-day Saint Charities, Life for Relief and Development, Lions Club International Foundation, Management Sciences for Health (MSH), Perkins International, Plan, Project C.U.R.E, ProLiteracy Worldwide, Stop Hunger Now, Winrock International, World Concern, World Food Program USA (WFP USA), World Rehabilitation Fund, World Vision",
156,SGP,Singapore,"Baptist World Alliance, Global Health Council, Global Resource Services, Habitat for Humanity International, Jesuit Refugee Service, Lions Club International Foundation, Taiwan Buddhist Tzu Chi Foundation, World Vision",
157,SVK,Slovakia,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, Baptist World Alliance, Habitat for Humanity International, Heifer International, International Center for Not-for-Profit Law, International Youth Foundation, Lions Club International Foundation, Perkins International",
158,SVN,Slovenia,"American Jewish Joint Distribution Committee, Baptist World Alliance, International Center for Not-for-Profit Law, International Relief & Development, Jesuit Refugee Service, Lions Club International Foundation",
159,SLB,Solomon Islands,"Adventist Development and Relief Agency International, American Red Cross International Services, AmeriCares, Direct Relief International, Episcopal Relief & Development, International Center for Not-for-Profit Law, Management Sciences for Health (MSH), Taiwan Buddhist Tzu Chi Foundation, World Vision",
50,SOM,Somalia,"Action Against Hunger | ACF International, ActionAid International USA, Adeso, Adventist Development and Relief Agency International, African Medical & Research Foundation, American Friends Service Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, Campaign for Innocent Victims in Conflict, CARE, Catholic Relief Services, Church World Service, CONCERN Worldwide, Direct Relief International, Education Development Center (EDC), Friends of ACTED, Giving Children Hope, Global Health Council, GlobalGiving, Handicap International USA, Helping Hand for Relief and Development, International Center for Not-for-Profit Law, International Medical Corps, International Relief & Development, International Relief Teams, International Rescue Committee (IRC), Islamic Relief USA, Life for Relief and Development, Lions Club International Foundation, Medical Emergency Relief International (Merlin), Mercy Corps, Mercy USA for Aid and Development, Project C.U.R.E, Refugees International, Relief International, Solidarity Center, U.S. Committee for Refugees & Immigrants, World Concern, World Food Program USA (WFP USA), World Vision",
